storenum,opendate,date_super,conversion,st,county,streetaddr,strcity,strstate,type_store,strstate_order,region,statename,zipcode
1534,1990-12-03,NA,NA,38,015,701 SOUTH WASHINGTON STREET,Bismarck,ND,Wal-Mart,ND,Midwest,North Dakota,58504
1595,1990-11-14,NA,NA,39,159,15785 US 36 EAST,Marysville,OH,Wal-Mart,OH,Midwest,Ohio,43040
1652,1991-04-02,NA,NA,51,155,1000 MEMORIAL DRIVE,Pulaski,VA,Wal-Mart,VA,South,Virginia,24301
1663,1991-02-27,NA,NA,37,087,157 PARAGON PARKWAY,Clyde,NC,Wal-Mart,NC,South,North Carolina,28721
1671,1991-07-31,NA,NA,31,153,7904 SOUTH 83RD STREET,La Vista,NE,Wal-Mart,NE,Midwest,Nebraska,68128
1705,1991-11-05,NA,NA,36,099,1855 STATE ROUTE 5 & 20,Seneca Falls,NY,Wal-Mart,NY,Northern,New York,13165
1725,1991-12-31,NA,NA,39,113,5331 SALEM STREET,Trotwood,OH,Wal-Mart,OH,Midwest,Ohio,45426
1740,1992-02-04,NA,NA,17,177,1755 SOUTH WEST AVENUE,Freeport,IL,Wal-Mart,IL,Midwest,Illinois,61032
1748,1991-11-05,NA,NA,45,019,2245A ASHLEY CROSSING DRIVE,Charleston,SC,Wal-Mart,SC,South,South Carolina,29414
1806,1992-08-04,NA,NA,36,035,233 5TH AVE. EXT.,Gloversville,NY,Wal-Mart,NY,Northern,New York,12095
1829,1992-06-30,NA,NA,45,067,2523 E HWY 76,Marion,SC,Wal-Mart,SC,South,South Carolina,29571
1875,1992-08-04,NA,NA,24,003,7992 CRAIN HWY.,Glen Burnie,MD,Wal-Mart,MD,South,Maryland,21061
1914,1993-02-02,NA,NA,06,071,4210 EAST HIGHLAND AVE,San Bernardino,CA,Wal-Mart,CA,West,California,92346
1916,1993-11-02,NA,NA,12,099,22100 US HWY 441,Boca Raton,FL,Wal-Mart,FL,South,Florida,33428
1940,1993-03-02,2004-08-18,1,36,083,279 TROY ROAD,E. Greenbush,NY,Supercenter,NY,Northern,New York,12061
1976,1993-07-27,NA,NA,36,015,"830 COUNTY ROUTE 64, BLD 3",Elmira,NY,Wal-Mart,NY,Northern,New York,14903
1984,1993-09-28,NA,NA,25,003,830 CURRAN MEMORIAL HWY,N. Adams,MA,Wal-Mart,MA,Northern,Massachusetts,1247
1993,1993-03-31,NA,NA,36,055,4828 LAKE ROAD SOUTH,Brockport,NY,Wal-Mart,NY,Northern,New York,14420
2006,1993-07-27,NA,NA,16,069,2981 THAIN GRADE,Lewiston,ID,Wal-Mart,ID,West,Idaho,83501
2013,1993-09-28,2005-01-26,1,23,011,80 WATERVILLE COMMONS DRIVE,Waterville,ME,Supercenter,ME,Northern,Maine,4901
2056,1994-01-04,2001-07-18,1,36,091,16 OLD GICK ROAD,Wilton,NY,Supercenter,NY,Northern,New York,12866
2068,1993-11-02,NA,NA,42,017,495 SOUTH OXFORD VALLEY ROAD,Fairless Hills,PA,Wal-Mart,PA,Northern,Pennsylvania,19030
2069,1993-11-02,NA,NA,41,029,300 WEST VALLEY VIEW,Talent,OR,Wal-Mart,OR,West,Oregon,97540
2095,1994-06-29,NA,NA,25,023,3005 CRANBERRY HWY (RT 6 & 28),Wareham,MA,Wal-Mart,MA,Northern,Massachusetts,2538
2106,1994-07-26,NA,NA,32,031,2863 NORTHTOWNE LANE,Reno (N),NV,Wal-Mart,NV,West,Nevada,89512
